text,wakati_text
就活セクハラとかする会社なんか就活生から願い下げでしょ,就活 セクハラ する 会社 就活 生 願い下げ
12/2(月) 11:00-12:00 にて厚労省、13:00-14:00 FCCJにて就活セクハラに関する記者会見を行います。記者の皆さん是非いらっしゃってください！！,12 月 11 00 12 00 厚労 省 13 00 14 00 就活 セクハラ 関する 記者 会見 行う ます 記者 皆さん いらっしゃる くださる
来年の地味ハロウィンで就活セクハラを訴える女性の仮装する人いるんだろうなぁ...笑,来年 地味だ ハロウィン 就活 セクハラ 訴える 女性 仮装 する 人 いる 笑
就活セクハラて、、くそやな。学生にセクハラするようなクソ大人がいるような企業なんか就職する価値ないやろ。胸糞悪いニュース(′_ゝ'),就活 セクハラ て 学生 セクハラ する クソ 大人 いる 企業 就職 する 価値 ない 胸糞 悪い ニュース
ほんでこの就活セクハラの話題に乗じて自分のされたセクハラ体験談を持ち出している女はブスしかいない。,就活 セクハラ 話題 乗ずる 自分 する れる セクハラ 体験 談 持ち出す いる 女 ブスだ いる ない
"@junichiro_DMC いきなり失礼します。
今回の件だけで言えば、そもそも容姿等を武器にしてる、セクハラをセクハラと思わない、もしくは許容できるなら、ある意味就活が楽になるからじゃないですかね",失礼 する ます 今回 件 言う 容姿 等 武器 する る セクハラ セクハラ 思う ない 許容 できる 意味 就活 楽だ なる ない
"就活セクハラやて
会社員としての立場を使ってしか女とやれないクソみたいなおっさんが死ねば済む話。
あとはそんな事やる会社に行かなきゃいい話なんじゃ…そもそもそんな会社に入るの嫌でしょ(´・ω・｀)
入る前にわかってよかったやん。
てことじゃないの…？法整備いるの？",就活 セクハラ て 会社 員 する 立場 使う 女 やれる ない クソ おっさん 死ぬ 済む 話 あと 事 やる 会社 行く ない いい 話 会社 入る 嫌だ 入る 前 わかる よい やん てこ ない 法 整備 いる
"RT @XkfRdqNciP0B3QN: https://t.co/StPcUE0VJ5
#スッキリ
就活セクハラが今問題として取り沙汰されていますが以前から問題になっているスクールハラスメントはなぜ大きく取り上げられないのだろう…ここにこそ教師たちの隠蔽体質、そして学校という…",就活 セクハラ 今 問題 する 取る 沙汰 する れる いる ます 以前 問題 なる いる スクール ハラスメント 大きい 取る 上げる られる ない 教師 たち 隠蔽 体質 学校 いう
"@HuffPostJapan もし就活セクハラを受けたときは、まず弁護士に相談するのも１つの手段ですね。
人を軽視する行動はあまりにも不愉快でその企業に就職したところで続く事はなく、やりがいを持って仕事をする事なんて問題外です。
どんな人にも尊敬されるような年上の上司が沢山出来るようなそんな国になると良いですね",就活 セクハラ 受ける とき 弁護 士 相談 する の １ つ 手段 人 軽視 する 行動 あまりだ 不愉快だ 企業 就職 する ところ 続く 事 ない やりがい 持つ 仕事 する 事 問題 外 人 尊敬 する れる 年上 上司 出来る 国 なる 良い
RT @suzuna_100: 就活セクハラのやつあまりにも胸糞じゃない？辞退すれば良いだけって言うけどそれじゃこっちが一方的に損してるだけなんだよな、やっぱり端から晒して潰していくしかねえ,就活 セクハラ やつ あまりだ 胸糞 ない 辞退 する 良い 言う 一方的だ 損する る 端 晒す 潰す いく ない
就活セクハラはどんどん企業名を晒せば良いんだよ！,就活 セクハラ 企業 名 晒す 良い
就活セクハラがニュースで特集されてる,就活 セクハラ ニュース 特集 する れる る
"こんなんさっさと社名晒したったらええねん。

就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/jBSJ0weMZU",こんなんだ 社名 晒す いい 就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
15%にしろだ難民受け入れろだ海外から言われたい放題だぜ,15 しろ 難民 受け入れ ろ 海外 言う れる たい 放題
日本のトレンドの就活セクハラって東京熱の新卒採用記録みたいな感じ？,日本 トレンド 就活 セクハラ 東京 熱 新卒 採用 記録 感じる
RT @NE_GMAN: 今の学生って中年には就活セクハラやパワハラに悩まされて年金とか税金とかもうね、、みんな頑張ろうね、,今 学生 中年 就活 セクハラ パワハラ 悩む す れる 年金 税金 かむ 頑張る
"RT @Rald_nightmare: #11月も終わるので音ゲーマーフォロー祭
たまにトロとパズルとかやってたりするDDR(SP九段・パラレボ難民、DP八段)、弐寺(SP八段)、チュウニズム(超底辺虹レ)メインの音ゲーマルチ勢です。よろしくお願いします。 https://t.…",11 月 終わる 音 祭 たまだ トロ パズル やる る する 九段 難い 民 八 段 弐 寺 八 段 チュウニズム 底 辺 虹 メイン 音 ゲー マルチ 勢 る い おく 願 い
RT @BirdWing09: 女子学生の就活でセクハラに対する記事を読んで「人事担当者は不要かも」と思いました。一次面接は人工知能でよい気がします。質問データベースから音声合成でランダムに質問して、学生の表情を動画認識、言葉を自然言語処理で解析する。経営者や役員の最終面接だけ…,女子 学生 就活 セクハラ 対する 記事 読む 人事 担当 者 不要だ 思う ます 一 次 面接 人工 知能 よい 気 する ます 質問 データベース 音声 合成 ランダム 質問 する 学生 表情 動画 認識 言葉 自然だ 言語 処理 解析 する 経営 者 役員 最終だ 面接
就活セクハラにはあまり共感はできなかったけど、カスハラはもうわかり過ぎて。日本はお客様は神様だっていう具合がおかしいんだよね。,就活 セクハラ 共感 できる ない わかる 過ぎる 日本 客 様 神様 いう 具合 おかしい
Reading... 就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 | ハフポスト https://t.co/0WXxwveSd9 by https://t.co/cTptm1YCsv,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表 ハフ ポスト
質問箱に就活セクハラについての質問があり、真面目に答えたいため、時間がある昼頃に答えますね。質問ありがとうございます。,質問 箱 就活 セクハラ つく 質問 ある 真面目だ 答える たい ため 時間 ある 昼 頃 答える ます 質問 ございます
"就活セクハラとか…
信じられないよな…",就活 セクハラ 信じる られる ない
就活セクハラですが、そんなの受けたらその会社なんてカスだから、行く必要もないし、その会社の社長宛に親展で詳細報告出せばいい。なんで我慢するのかマジで意味不明,就活 セクハラ 受ける 会社 カス 行く 必要だ ない 会社 社長 宛 親展 詳細だ 報告 出す いい 我慢 する マジだ 意味 不明だ
"就活セクハラで枕みたいなことをしないと採用取り消しするよみたいなこと言うとこにどんなに大手のとこでも行きたいと思うのかねえ
最低でもその言ってきたやつとその周囲の人間排除しないと危なくない？",就活 セクハラ 枕 こと する ない 採用 取り消し する こと 言う とこ 大手 とこ 行く たい 思う 最低だ 言う くる やつ 周囲 人間 排除 する ない 危ない ない
就活セクハラ、被害受けてる間は最低最悪やけど、一発でヤバイ会社やって分かる点においてはいいな。入社してからも絶対やばいからさっさと願い下げよう。,就活 セクハラ 被害 受ける る 間 最悪だ 一 発 ヤバイ 会社 やる 分かる 点 おく いい 入社 する やばい 願い下げ よう
就活セクハラとか、同じ国で起こってるんだよなぁ。,就活 セクハラ 同じだ 国 起こる る
就活セクハラなのか未だにわからないけれども、OB訪問の相手がなぜかハイアットリージェンシーのフレンチを予約しており、そんなこと知らなかった私は場違いなカジュアルファッションをしていたので色々と困った記憶がある,就活 セクハラ わかる ない 訪問 相手 ハイアット リージェンシー フレンチ 予約 する おる こと 知る ない 私 場違いだ カジュアルだ ファッション する いる 困る 記憶 ある
就活セクハラ… 就活期間で済めばまだマシだけど現実はもっと根深いぞ…,就活 セクハラ 就活 期間 済む マシ 現実 根深い
「「就活セクハラ」に学生が対策求める みなさんの反応」  https://t.co/V4Wd0gXicS,就活 セクハラ 学生 対策 求める みなさん 反応
就活セクハラの画像と言い丸刈りのいじめの件と言い朝から不愉快な話題ばっかりだわ。,就活 セクハラ 画像 言う 丸刈り いじめ 件 言う 朝 不愉快だ 話題
"なに？！
就活セクハラ？！💨💨💨

ったく！
どうしようもない大人だな！

もう…若い子いじめないで…
可哀想に…

腹立つ！",なに 就活 セクハラ たく する よう ない 大人 若い 子 いじめる 可哀想だ 腹立つ
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/be3iOzCcQu,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
@HuffPostJapan 就活セクハラは女性だけじゃない。自分は男で保育士の面接行ったら、彼女はいる？避妊具はつけてSEXして下さい。とか言われて苦笑いしてたけど。のちに他に面接受けた女性も言われた事が分かった。彼氏いる？1年以内に妊娠されると困るから避妊具つけるかSEXしないで下さい。と・・勿論、女性面接官。,就活 セクハラ 女性 ない 自分 男 保育 士 面接 行く 彼女 いる 避妊 具 つける する 下さる 言う れる 苦笑い する る のち 他 面接 受ける 女性 言う れる 事 分かる 彼氏 いる 1 年 以内 妊娠 する れる 困る 避妊 具 つける しない 下さる 女性 面接 官
多くの人（男女とも）は「こういうことだろう」と推察できるから問題にしなくて、女性の一部が「彼氏がいるかどうか聞くなんてセクハラ！」って騒いでる例じゃないんかね。まあ就活セクハラの他の例には明らかなセクハラもあるが,多く 人 男女 こと 推 察す い る ら 問 題 い る 女 性 一 部 彼 氏 い る どう うむ 聞く い る セクハラ う る 騒ぐ い る 例 い ある 就く 活 セクハラ 他 例 明 ら セクハラ ある る
就活セクハラとか怖い世の中よな…,就活 セクハラ 怖い 世の中
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/FirasXXr3r,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
就活セクハラが話題ですが、結婚願望の有無に関わらず女性には弊社をオススメします,就活 セクハラ 話題 結婚 願望 有無 関わる 女性 弊社 オススメ する ます
"就活の時に結婚、恋人のこと聞くのは今後の人員把握の為だって言ってる人いるけど、それ男にも聞いてるの？今の時代男だって育休取るよ？人員把握するなら男女両方に聞いてるんだよね？？
就活セクハラする会社は入社したら普通にセクハラが待ってます。はい、私の経験。
#就活セクハラ",就活 時 結婚 恋人 こと 聞く の 今後 人員 把握 為 言う る 人 いる 男 聞く る の 今 時代 男 育休 取る 人員 把握 する 男女 両方 聞く る 就活 セクハラ する 会社 入社 する 普通だ セクハラ 待つ ます 私 経験 就活 セクハラ
"就活でセクハラね〜
他の会社で君のこと悪くいうよーとか今の時代そんなんで脅してもツイッターがあるからな……
わしも就活するとき録音とかしよ！！！！！！！！！のちの反省点とか見出せるし採用する側が初っ端から録音拒否したらもうその時点でねうん",就活 セクハラ ない 他 会社 君 こと 悪い いう 今 時代 ん 脅す ツイッター ある わし 就活 する とき 録音 とかす のち 反省 点 見出せる 採用 する 側 う 端 録音 拒否 する 時点
ラルクの新情報知りたいだけなのに、就活セクハラについてのニュースを聴かせられる拷問。こんな酷いニュースが流れないような社会にしてくれ,ラルク 情報 知る たい 就活 セクハラ つく ニュース 聴く せる られる 拷問 酷い ニュース 流れる ない 社会 する くれる
"これって 
セクハラやしパワハラやし😑

まぁほんでも 
就活で そんなんて事は

会社入っても そういう事が
まかり通ってる会社としか 
思われへんな

この当事者が 自分の娘やったら
絶対 そんなとこやめとき‼️って言うわ

なんか 就活でセクハラとか
ほんま レベル低っ💧

#就活セクハラ https://t.co/U4oW2OrXCa",セクハラ やし パワハラ あほ 就活 そんだ 事 会社 入る 事 まかり通る る 会社 思う れる へんだ 当事 者 自分 娘 やる とこ やめる とき 言う 就活 セクハラ ほんま レベル 低い う 活 セクハラ
「就活セクハラやめて」女子大生が訴え 臨床心理士「OBOG訪問は一律『やめる』でいいのでは」 （AbemaTIMES） 「企業は採用不採用の決定権で、就活生の人 #ニュース https://t.co/smiAV5Dzno,就活 セクハラ やめる 女子 大 生 訴える 臨床 心理 士 訪問 一律だ やめる いい 企業 採用 採用 決定 権 就活 生 人 ニュース
"RT @CDP2017: 緊急声明の全文です。 #就活セクハラ の具体例も書かれていますが、ひどい有様です…。ぜひお読みください👇

実効性ある「就活セクハラ」対策を求める大学生からの緊急声明
https://t.co/8UzTNdOFc1",具体 例 書く れる いる ます ひどい 有様 読む くださる 実効 性 ある 就活 セクハラ 対策 求める 大学生 緊急だ 声明
アクション &gt; 実効性ある「就活セクハラ」対策を求める大学生からの緊急声明 | ウィメンズアクションネットワーク Women's Action Network https://t.co/sABFQorR8B @wansmtさんから,アクション 実効 性 ある 就活 セクハラ 対策 求める 大学生 緊急だ 声明 さん
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/OwMBIK4kWn,就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
確かに気持ち悪いけど就活の面接の時にもうセクハラまがいのことされてるならそこの会社入っても絶対すぐ辞めるから入らない方がいいんじゃないかと思ってしまうけどな……,確かだ 気持ち 悪い 就活 面接 時 セクハラ まがい こと する れる る 会社 入る 辞める 入る ない 方 いい ない 思う しまう
「「就活セクハラ」に学生が対策求める みなさんの反応」  https://t.co/Vfa9nhr0SQ,就活 セクハラ 学生 対策 求める みなさん 反応
"就活セクハラかぁー
調子こいてやってたら
痴漢冤罪みたいにハメらんぞ

って、
ならんとわからんの
やろうなぁ

#newszero",就活 セクハラ 調子 いる やる る 痴漢 冤罪 ハメ らん なる わかる な
"就活セクハラとか山田氏AVの世界でしか聞いたことないで。笑
有望企業じゃなくて絶望企業やん",就活 セクハラ 山田 氏 世界 聞く こと 笑 有望だ 企業 ない 絶望 企業 やん
"ブラック企業だらけの日本は差し詰めブラック国家だ。

ブラック上司は社会悪。

ひどい場合は労働監督局へ通報しよう！

 「就活セクハラ」に学生が対策求める みなさんの反応: https://t.co/NclR9GrNzE",ブラック 企業 だらけ 日本 差す 詰める ブラック 国家 ブラック 上司 社会 悪 ひどい 場合 労働 監督 局 通報 する 就活 セクハラ 学生 対策 求める みなさん 反応
就活セクハラについて見てるけど、もはやそんなこと言われたらその会社には一気に行きたくなくなるし、別に通らなくてもいいよ？,就活 セクハラ つく 見る る こと 言う れる 会社 一気だ 行く たい ない なる 別だ 通る ない いい
"就活解禁される前にインターンを一応やってたけど、セクハラは特に無かったなぁ…これは奇跡なのか？
一対一で面接する時は気を遣って女性の方にしてくれたり…
でも仕事内容が無理すぎたから丁重にお断りしたけど…",就活 解禁 する れる 前 インターン やる る セクハラ 無い 奇跡 一 対 一 面接 する 時 気 遣う 女性 方 する くれる 仕事 内容 無理だ すぎる 丁重だ 断る する
"就活セクハラのタグがクソリプに満ちてる……
ちなみにハロワが出してるこういうこときいちゃだめな例はこれな

https://t.co/JYhc7qWwV9",就活 セクハラ タグ 満ちる る ハロワ 出す る こと きく だめだ 例
RT @baezjoansong: 就活におけるセクハラ「独身の男、よりどりみどりだぞ」　大学生有志、根絶訴え|弁護士ドットコムニュース https://t.co/BlGUZepZ73 @bengo4topicsさんから,4 さん
"就活セクハラ？
彼氏とかいるの？って結婚妊娠して仕事辞められると…ってことでしょ……？たぶん。私聞かれた()",就活 セクハラ 彼氏 いる の 結婚 妊娠 する 仕事 辞める られる こと 私 聞く れる
"就活セクハラ、私が就活してた時も話題にやっぱりなってたけど、そもそも内定出てないのに会社関係者の人から飲みに誘われるのがまず何？？
それが最早おかしくないの？",就活 セクハラ 私 就活 する たい 時 話題 なる る 内定 出る ない 会社 関係 者 人 飲み 誘う れる の 何？ 早 おかしい ない
就活セクハラ、問題として表に出るのは大きな一歩だと思う。,就活 セクハラ 問題 する 表 出る の 一 歩 思う
https://t.co/ygwucSWIkr 大学は就活セクハラ対策を現役学生らが訴え。「前例がない」とスルーされた過去も（BUSINESS INSIDER JAPAN）   https://t.co/mdQJDgGDun,大学 就活 セクハラ 対策 現役 学生 ら 訴える 前例 ない スルー する れる 過去
就活セクハラされたら入ってから辞めなくて済むじゃん,就活 セクハラ する れる 入る 辞める ない 済む
就活セクハラ話題だけど、普通にセクハラととらえられれことやってる人沢山いるんだけどさ？世界中のおじさんたちはみんなセクハラまがいのことするの？それとも日本だけ？ https://t.co/x44dj80vFq,就活 セクハラ 話題 普通だ セクハラ とらえる られる れる こと やる る 人 いる 世界 中 おじさん たち セクハラ まがい こと する 日本
"社会って本当にクソだよ
就活セクハラも顔採用も本当にキモいまじで社会はクソ！",社会 本当だ クソ 就活 セクハラ 顔 採用 本当だ キモい まじる 社会
就活セクハラ…見てるだけで怖い…彼氏いるの？結婚したいと思う？は何社か聞いてきたとこあったけど…男性にも同様の質問するんですか？って聞けばよかったかな(笑),就活 セクハラ 見る る 怖い 彼氏 いる 結婚 する たい 思う 何 社 聞く くる とこ ある 男性 同様だ 質問 する 聞く よい かな 笑
就活セクハラって言葉にいろんな意味で終わりを感じた,就活 セクハラ 言葉 意味 終わり 感じる
就活セクハラのやつ、｢耐えないと採用されない｣って言うけど、でも我慢してその会社に入ってもそのセクハラキモキモクソ野郎がいる会社じゃん…,就活 セクハラ やつ 耐え ない 採用 する れる ない 言う 我慢 する 会社 入る 野郎 いる 会社
"今回のハラスメント指針案の就活セクハラ部分は努力義務ですらない「望ましい」という強制力のないレベル。ただ企業はこれを機に社内セクハラと同等の対応をしないと社会的にヤバいと思う。

就活ハラスメントにNO、国が初の指針。大学生団体「抑止力ない」と強い実効性求める
https://t.co/t96kGQVf38",今回 ハラスメント 指針 案 就活 セクハラ 部分 努力 義務 ない 望ましい いう 強制 力 ない レベル 企業 機 社 内 セクハラ 同等だ 対応 する ない 社会 的だ ヤバい 思う 就活 ハラスメント 国 初 指針 大学生 団体 抑止 力 ない 強い 実効 性 求める
就活セクハラね〜,就活 セクハラ
就活セクハラってレベル高すぎるだろ,就活 セクハラ レベル 高い すぎる
「女は20歳までだろ」就活におけるセクハラ横行し根絶を訴え #ldnews https://t.co/dxSYtnccwL,女 20 歳 就活 おける セクハラ 横行 する 根絶 訴える
就活セクハラで公衆の面前に出て行ってるやつブスとか言ってる方が案の定沢山いるけど、その発言も十分に醜いよね笑,就活 セクハラ 公衆 面前 出る 行く る やつ ブスだ 言う る 方 いる 発言 十分だ 醜い 笑
就活セクハラが話題になってるが、自分も就活してるときに「彼女いたことある？」って聞かれたなぁ。セクハラに該当するか知らんけど。,就活 セクハラ 話題 なる る 自分 就活 する る とき 彼女 いる こと 聞く れる セクハラ 該当 する 知る
@yui_imaizumi おはようございます。わたしも今日は、今日も、今日も、就活セクハラ、、、、、、、、、、、、、、、,ございます わたし 今日 今日 今日 就活 セクハラ
ブスだから就活セクハラとか無縁やったなぁ。今の子みんな可愛いから大変だね…(オヤジかよ),ブスだ 就活 セクハラ 無縁だ 今 子 可愛い 大変だ オヤジ かよ
"就活セクハラなんてのがあるのか、こわ
てかそういうことする会社に入れなかったことを平然と悔しいと思うのもどうかと思うけど。こんなクソ会社に入るとこだったんかあぶねー！らっきー！って思え",就活 セクハラ ある こわい る こと する 会社 入れる ない こと 平然たる 悔しい 思う の 思う クソ 会社 入る とこ あぶない らっきい 思う
"就活セクハラかぁ

ぼくも今年就活したけど
うわぁこの人綺麗だな、この人に面接して貰えねぇかなちくしょう

って思った企業はだいたい書類で落ちました",就活 セクハラ かぼく 今年 就活 する うわる 人 綺麗だ 人 面接 する 貰える ない 思う 企業 だいたい 書類 落ちる ます
「就活セクハラ」対策求め…　大学生が声明を発表｜テレ朝news https://t.co/mSCuFe6SYi,就活 セクハラ 対策 求め 大学生 声明 発表 テレ朝
RT @skb_0yster: 就活セクハラのニュース見てたんだけど、とくダネのおじさん達がどうにもピントがずれてて闇が深いなって思った。小倉さんが加害者を批判するつもりで「女性に相手にされないダメな男」って言ったり梅沢富美男が女優の容姿に言及しないとしゃべることないから何がセ…,就活 セクハラ ニュース 見る る とく ダネ おじさん 達 ピント ずれる る 闇 深い なる 思う 小倉 さん 加害 者 批判 する 女性 相手 する れる ない ダメだ 男 言う 梅沢 富美男 女優 容姿 言及 する ない しゃべる こと ない 何
"酷い。どの会社だろう。これだけ関心が高まっているのに。声をあげた学生に拍手。なのだけど、その前に企業が対応しなくちゃ。
就活セクハラ「もう黙らない」大学生たちが緊急声明を発表 https://t.co/sbWDXvYaNC",酷い 会社 関心 高まる いる 声 あげる 学生 拍手 前 企業 対応 する ない 就活 セクハラ 黙る ない 大学生 たち 緊急だ 声明 発表
就活セクハラ、github晒してオファーきたところとオンライン面接して内定取れば回避可能なのでは？？？？？？,就活 セクハラ 晒 する オファー くる ところ オンライン 面接 する 内定 取る 回避 可能だ
"「女は20歳までだろ」就活におけるセクハラ横行し根絶を訴え #ldnews https://t.co/St7NBuxZIL 

遺伝子的には19歳がピークらしいけどね。
いい女性に巡り合ってない男は年齢だけで判断する。貧しい人生を送ってきたのだと哀れんであげるといい。",女 20 歳 就活 おける セクハラ 横行 する 根絶 訴える 遺伝子 的だ 19 歳 ピーク いい 女性 巡り合う ない 男 年齢 判断 する 貧しい 人生 送る くる 哀れむ あげる いい
あの就活セクハラの記者会見のおかげで自分の会社の後輩もこの問題に気づいて、パブコメ書きます！って言ってくれた...やっぱりawareness って大事！！！！！周りをどんどん巻き込んで行きたい。,就活 セクハラ 記者 会見 おかげ 自分 会社 後輩 問題 気づく パブコメ 書く ます 言う くれる 大事だ 周り 巻く 込む 行く たい
就活セクハラとはなんぞ？？と思ったけどやべぇな？？？そんな会社絶対入りたくない…,就活 セクハラ 思う やばい な？ 会社 入る たい ない
"就活セクハラは受けたことないと思うけど、職歴を見て「接客業っぽくないですね」って言った人事は絶対許さない。(n回目)
もしかしたら今後仕事でお世話になるかもだから見逃してるけど、絶対許さない。
コミュ力ないって？陰キャっぽいって？
どういう意味で言ったの？ねえねえ",就活 セクハラ 受ける こと ない 思う 職歴 見る 接客 業 っぽい ない 言う 人事 許す ない 回 目 もし する 今後 仕事 世話 なる 見逃す る 許す ない コミュ 力ない 陰 っぽい 意味 言う
"Twitterの検索押すとトレンドに入ってる就活セクハラ？の動画が高確率でトップにあって気分悪い。
トレンドから弾いてもオススメしてくるのなんなの",検索 押す トレンド 入る る 就活 セクハラ 動画 高確 率 トップ ある 気分 悪い トレンド 弾く オススメ する くる
"就職を人質に関係を迫られるのは脅迫などの犯罪に該当しそうだから、弁護士に相談してもいいよね。

交際相手の有無聞かれ　就活セクハラ被害女子学生ら対策訴え #SmartNews  https://t.co/tpEG0loDJ2",就職 人質 関係 迫る れる の 脅迫 犯罪 該当 する そうだ 弁護 士 相談 する いい 交際 相手 有無 聞く れる 就活 セクハラ 被害 女子 学生 ら 対策 訴え
就活セクハラだけでなく世間に蔓延してる女性を若さや容姿で価値を値踏みする発言する奴ぜんぶ滅べばいいのになぁ。,就活 セクハラ ない 世間 蔓延 する る 女性 若い さ 容姿 価値 値 踏む する 発言 する 奴 滅ぶ いい
"就活セクハラか…この子就活生にしてはメイクも服装も派手だけ可愛いね…

2枚目は…うん…被害妄想だということで、これからの活躍をお祈り申し上げます。 https://t.co/cV7rtMQ9EC",就活 セクハラ 子 就活 生 する メイク 服装 派手だ 可愛い 2 枚 目 うん 被害 妄想 いう こと 活躍 祈る 申し上げる ます
"就活セクハラめっちゃきもい
就活生に人権はないんか",就活 セクハラ めっちゃ きもい 就活 生 人権 ない
就活セクハラのプロです,就活 セクハラ プロ
就活セクハラ気持ち悪,就活 セクハラ 気持ち 悪
就活セクハラを訴えてる女性…サングラスじゃなく別の方法で顔を隠した方がよかったと思うのですが……🕶,就活 セクハラ 訴える る 女性 サングラス ない 別だ 方法 顔 隠す 方 よい 思う
"就活セクハラする人達って、その発言（性的からかい）がセクハラだと認識せずに言ってそう…。
そーゆー認識甘すぎる😑
そんな会社に行きたくない。
ホテルに誘うとかありえん！
ほんとクズ！",就活 セクハラ する 人 達 発言 性 的だ からかい セクハラ 認識 する 言う ゆう 認識 甘い すぎる そ 会社 行く たい ない ホテル 誘う ありえ ほんとだ クズ
林香里教授「就職活動において（企業に比べ）圧倒的弱い立場にいる学生が、前に出て声をあげることの意味を十分に理解してほしい」就活におけるセクハラ　大学生有志、根絶訴えhttps://t.co/YbVSMjaxOI #ss954 #radiko #tbsradio https://t.co/zHcQF6DfFT,林 香里 教授 就職 活動 おく 企業 比べる 圧倒 的だ 弱い 立場 いる 学生 前 出る 声 あげる こと 意味 十分だ 理解 する ほしい 就活 おける セクハラ 大学生 有志 根絶 訴え 954
就活セクハラがどうとか言うほど就活してなくて焦るわ,就活 セクハラ 言う ほど 就活 する ない 焦る
RT @tsukitos_r: 番組内でセクハラ行った小倉が就活でのセクハラのニュース扱うとかどんな冗談だよ…,番組 内 セクハラ 行く 小倉 就活 セクハラ ニュース 扱う 冗談
就活セクハラなんてあるのか…,就活 セクハラ ある
就活セクハラとかきもいし根絶して欲しい,就活 セクハラ きもい する 根絶 する 欲しい
"今就活セクハラなんてあるのね…
私は職場でのスモハラに悩んでいる",就活 セクハラ ある 私 職場 悩む いる
就活セクハラかあ,就活 セクハラ ある
就活セクハラも、名古屋の小学生タカリの問題の教育委員会の人も、おそらく同年代くらいのオッサンだと思うんだけど、感覚大丈夫？？？って思うわ。そんなんが実権握ってる世の中怖すぎ,就活 セクハラ 名古屋 小学生 タカリ 問題 教育 委員 会 人 年代 オッサン 思う 感覚 大丈夫だ 思う ん 実権 握る る 世の中 怖い すぎる
もう就活でセクハラとか言われたら余計に女の就職率さがるやんけ,就活 セクハラ 言う れる 余計だ 女 就職 率 さがる やん け
"@plum_wind @Z9iRF5zdJYd61RF @mainichijpnews それもそれで立派な人格否定
俺はセクハラ就活を容認してないし、会見に相応しい身だしなみが出来ない女性側にも問題はある
就活セクハラにあってない女性もいるしね

あの代表者を見ると今回は世間に助けを求めるより、自身の身だしなみや社会人としての対応力を身につけるほうが大事",立派だ 人格 否定 俺 セクハラ 就活 容認 する ない 会見 相応しい 身だしなみ 出来る ない 女性 側 問題 ある 就活 セクハラ ある ない 女性 いる 代表 者 見る 今回 世間 助け 求める 自身 身だしなみ 社会 人 する 対応 力 身 つける ほう 大事だ
"就活セクハラの人

サングラス、、、",就活 セクハラ 人 サングラス
就活セクハラって未だあるのね。。昔就職説明会に行った時にどこかの会社の爺さん社長に「君ら実際に営業に行ったら足とか触られたりするんやでそんなん我慢して働けるか？」と問われてなんだこの爺さんと思った,就活 セクハラ ある 昔 就職 説明 会 行く 時 会社 爺さん 社長 君 ら 営業 行く 足 触る れる する ん 我慢 する 働ける 問う れる 爺さん 思う
"就活セクハラぁ？
んな事してくる会社なんてこっちから願い下げだよタコ
どうせお前みたいなゲス野郎、風俗行っても誰も相手してくんねーんだろ？
地面とでもヤッてろよ豚が。俺たちは社会のゴミのために生きてんじゃねぇんだよ",就活 セクハラ 事 する くる 会社 願い下げ タコ お前 ゲス 野郎 風俗 行く 誰 相手 する くん ない 地面 てる 豚 俺 たち 社会 ゴミ ため 生きる ない
RT @bengo4topics: 就活におけるセクハラ「面接に受かるくらいのかわいさはある」　大学生有志、根絶訴えhttps://t.co/j9DlvP79iY,就活 おける セクハラ 面接 受かる くらい かわいい さ ある 大学生 有志 根絶 訴え
就活セクハラ…酷すぎ、最低！この人間のクズ！！こんな奴を叩き潰せる精神力を持ったまま就活しないといけないの？？たたでさえ折れそうなのに！！本当ムカつく！！,就活 セクハラ 酷だ すぎる 人間 クズ 奴 叩く 潰せる 精神 力 持つ 就活 する ない いけない の たたい 折れる そうだ 本当だ つく
就活セクハラ対策を訴える学生さんの服装がアレ,就活 セクハラ 対策 訴える 学生 さん 服装 アレだ
"就活生とか社会的に1番低い立場に立たされ通常より行動を慎みつつ社員の機嫌を損ねないよう立ち回らなきゃ行けないから、こんな事がおきやすいんやろうなあ職権乱用だよ

「「就活セクハラ」に学生が対策求める みなさんの反応」  https://t.co/U3vGhzZCA2",就活 生 社会 的だ 1 番 低い 立場 立つ す れる 通常 行動 慎む 社員 機嫌 損ねる ない よう 立ち回る ない 行ける ない 事 おきる やすい 職権 乱用 就活 セクハラ 学生 対策 求める みなさん 反応
"@_hopechan_ @wo0601 ドイツのメルケル首相も自ら進めて来た難民歓迎政策に問題があった事を認めたとの事
所属政党のCDUの半数はカトリック教徒とのこと
この宗教が政治に絡むとろくな事がない
宗教家は政治に口出しするなと言いたい
黙っていろ",ドイツ メルケル 首相 進める 来る 難民 歓迎 政策 問題 ある 事 認める 事 所属 政党 半数 カトリック 教徒 ことこ 宗教 政治 絡む 事 ない 宗教 家 政治 口出し する 言う たい 黙る いる
