text,wakati_text
就活セクハラってなんだよ…恋人がいるかどうかの質問がセクハラかどうかは置いておいてそれ聞かれて精神的苦痛を受けたわけでもあるまいし何でも声を荒らげて企業にセクハラされましたみたいなこと言いまくるやつって顔面ぶん殴ったら顔面ぶん殴られました！っていうのかな？言うだろうな俺も言うし,就活 セクハラ 恋人 いる 質問 セクハラ 置く おく 聞く れる 精神 的だ 苦痛 受ける ある 声 荒らげる 企業 セクハラ する れる ます こと 言う まくる やつ 顔面 殴る 顔面 殴る れる ます いう 言う 俺 言う
就活セクハラて初めて知ったけど面接官するぐらいやからそこそこ上のおっさん連中やと考えると気味悪いな親と子ぐらいの差やぞ,就活 セクハラ て 知る 面接 官 する ぐらい 上 おっさん 連中 考える 気味だ 悪い ない 親 子 差
怖すぎるよ。。気づかないうちに『就活セクハラ』を受けているかも。。 https://t.co/RlJrBkF5Fv,怖い すぎる 気づく ない うち 就活 セクハラ 受ける いる
現実的な話就活生の弱みにつけこんでセクハラをするような奴は絶対に反省をしてセクハラをやめたりしない,現実 的だ 話 就活 生 弱い み つけこむ セクハラ する 奴 反省 する セクハラ やめる する ない
就活セクハラのニュース観たけど面接官、まるでクロちゃんw,就活 セクハラ ニュース 観る 面接 官 クロ ちゃん
"就活セクハラってのもあるのか

俺の言ってる会社もセクハラ、パワハラ した方が会社に残って、された方が会社を去っていく、という頭のおかしなことばっかしてるし

ヤバイね🗿",就活 セクハラ の ある 俺 言う る 会社 セクハラ パワハラ する 方 会社 残る する れる 方 会社 去る いく いう 頭 こと する る ヤバイ ね
交際相手の有無聞かれ　就活セクハラ被害女子学生ら対策訴え - 毎日新聞 https://t.co/YQYpH2yIgc,交際 相手 有無 聞く れる 就活 セクハラ 被害 女子 学生 ら 対策 訴え 毎日新聞
就活セクハラ…私の大学では既に窓口があったし、そんな企業なんて、こっちから願い下げだ！！って学生自身も思ってた。学生が見られる資料にも公表されてたし、そういう事があったと報告すると事実確認と就職課が企業に抗議して守ってくれてた。当たり前だと思ってたけど、対策がない大学もあるのか…,就活 セクハラ 私 大学 窓口 ある 企業 願い下げ 学生 自身 思う たい 学生 見る られる 資料 公表 する れる たい 事 ある 報告 する 確認 就職 課 企業 抗議 する 守る くれる たい 当たり前だ 思う る 対策 ない 大学 ある
"RT @shoarashiss: 強い

就活セクハラ、カスハラはそれだけみんな関心があるってことだよね。

タピオカエンドレスは最高！ https://t.co/8hqWuUIGWT",強 いる 就活 セクハラ 関心 ある こと タピオカ エンドレスだ 最高だ
"就活セクハラか…

こんなんする奴、家族に知られて人生めちゃくちゃになったらええねん。

社員が会社の看板下げてやってる以上、会社も会社。説明責任果たせや。クビ切って済むことちゃうやろ。

社員も企業もそれ相応の制裁うけるべき。",就活 セクハラ こんなんだ する 奴 家族 知る れる 人生 めちゃくちゃだ なる いい 社員 会社 看板 下げる やる る 以上 会社 会社 説明 責任 果たせる クビ 切る 済む こと ちゃう 社員 企業 相応だ 制裁 うける
就活セクハラ、それをうまく使う子もいるからなくならないよなあ　日本の社会が悪い　全部悪循環だよ,就活 セクハラ うまい 使う 子 いる なくなる ない 日本 社会 悪い 悪 循環
"@Jn_Ga OBOGが学校に訪問するのだと勘違いしてたわ。就活生が会社を訪問するのね。
1番悪いのはセクハラしてくる奴らなので、今回の様に訴えを起こして刺されるって事をわからせてやるしか無いんやろな",学校 訪問 する 勘違い する たい 就活 生 会社 訪問 する 1 番 悪い の セクハラ する くる 奴 ら 今回 様 訴え 起こす 刺す れる 事 わかる せる やる 無い
被害者ビジネスが横行している今の世の中で、就活セクハラを訴える女子を素直な気持ちで見られない私は、心が歪んでしまったのかもしれない。だけど、カメラの前で話をするならサングラスや洋服のチョイスがミスマッチだと誰か教えてあげて。#就活ハラスメント,被害 者 ビジネス 横行 する いる 今 世の中 就活 セクハラ 訴える 女子 素直だ 気持ち 見る られる ない 私 心 歪む しまう しれる ない カメラ 前 話 する サングラス 洋服 チョイス ミスマッチ 誰 教える あげる 就活 ハラスメント
"せっかくSNSの時代なんだから、やられたら捨て垢でいいから企業名晒して欲しい。そこの製品利用しない。 #就活セクハラ

夫の会社は就活どころか勤務中でも男女共に容姿に言及したりセクハラと捉えかねない発言は懲罰対象だって。そもそもそういうの仕事に必要ないからって。",時代 やられる 捨てる 垢 いい 企業 名 晒す 欲しい 製品 利用 する ない 就活 セクハラ 夫 会社 就活 勤務 中 男女 容姿 言及 する セクハラ 捉える かねる ない 発言 懲罰 対象 仕事 必要だ ない
就活セクハラするおじさんの脳みそどんな感じなのか見てみたいな,就活 セクハラ する おじさん 脳みそ 感じ 見る
就活セクハラ、ダメ。絶対。でも全ての企業がそんなんではない。真摯に学生と対話する担当者もたくさんいる。逆に私は学生から暴言吐かれたこと数知れず。採用担当者と学生という立場の前に一人の人間として礼節を守るような対話がしたい。セクハラするようなゴミはロケットに詰め込んで全部地球外へ😊,就活 セクハラ ダメだ 企業 ん ない 真摯だ 学生 対話 する 担当 者 いる 逆だ 私 学生 暴言 吐く れる こと 数 知れる 採用 担当 者 学生 いう 立場 前 一 人 人間 する 礼節 守る 対話 する たい セクハラ する ゴミ ロケット 詰める 込む 地球 外
"就活セクハラするような会社は市場にいる資格がないと本気で思う。

おそらくはセクハラという認識すらないんだろうけど、本当に相手のことを考えればそんな発言は出てこないはず。新入社員でもわかる話だ。

若い子に相手してもらいたいんならプロ相手に金払え、金もらって地位悪用するんじゃない。",就活 セクハラ する 会社 市場 いる 資格 ない 本気だ 思う セクハラ いう 認識 ない 本当だ 相手 こと 考える 発言 出る くる ない 新入 社員 わかる 話 若い 子 相手 する もらう たい プロ 相手 金 払う 金 もらう 地位 悪用 する ない
就活セクハラ...?,就活 セクハラ
"RT @GO_Mahaguru: 面接官「じゃあまず、年齢を教えてくれるかな？」

「就活セクハラ」に学生が対策求める みなさんの反応  https://t.co/ciszttQX9q",面接 官 年齢 教える くれる 就活 セクハラ 学生 対策 求める みなさん 反応
"就活セクハラのサングラスが不快？公式な場でサングラスかけてる奴はどこ受けてもダメ？
https://t.co/ciVdCdNtEx

就活セクハラを一生懸命訴えている動画が話題になっていますが、それよりもサングラスとジャラジャラしたネックレスが気になるという声も…。

#就活セクハラ
#サングラス",就活 セクハラ サングラス 不快だ 公式だ 場 サングラス かける る 奴 受ける ダメだ 就活 セクハラ 一生懸命だ 訴える いる 動画 話題 なる いる ます サングラス する ネックレス 気 なる いう 声 就活 セクハラ サングラス
"就活セクハラとまではいかないが、女性として今後をどのように考えていますか？と聞かれて困ったな
男が多い現場なら女としてどんな活躍をしたいか…みたいにとれるけど、女が多いし
結婚しても仕事続けるか？って聞きたかったんだろうな
自分の場合は""女性として""って時点で答えづらかったけど笑",就活 セクハラ いく ない 女性 する 今後 考える いる ます 聞く れる 困る ない 男 多い 現場 女 する 活躍 する たい とれる 女 多い 結婚 する 仕事 続ける 聞く たい 自分 場合 女性 する 時点 答える づらい 笑
就活セクハラ…ほんとこの国終わってるな,就活 セクハラ ほんとだ 国 終わる るな
「就活セクハラやめて」女子大生が訴え 臨床心理士「OBOG訪問は一律『やめる』でいいのでは」 – AbemaTIMES https://t.co/3BrfZN7jur,就活 セクハラ やめる 女子 大 生 訴える 臨床 心理 士 訪問 一律だ やめる いい
就活セクハラをやったという企業名なんてさっさと出せばいいのに。SNSで拡散される世の中になってからは圧迫でさえしないように気を付けている企業がほとんどなんだから、それでも懲りていない企業なんてさっさと名前を公表して情報共有しろ。,就活 セクハラ やる いう 企業 名 出す いい 拡散 する れる 世の中 なる 圧迫 する ない 気 付ける いる 企業 懲りる いる ない 企業 名前 公表 する 情報 共有 する
"変な時間に最近起きてしまうなぁ。
ところで就活セクハラについてだけど、権力かざして性欲満たそうという人らは「ほぼ無能」なので、退職勧奨の雰囲気出して外に出した方がいいと思います。
公私混同してる人は消えた方がいいです。あくまで私の持論。",変だ 時間 最近 起きる しまう 就活 セクハラ つく 権力 かざす 性欲 満たす いう 人 ら 無能だ 退職 勧奨 雰囲気 出す 外 出す 方 いい 思う ます 公私 混同 する る 人 消える 方 いい 私 持論
"私の場合はそんな動画で勉強しないし、就活セクハラまで政権のせいにする気はないよ。

あとね、社会人だから社会がよく分かるなんてないんだよ。社会人より余程社会をよく理解している学生さんもいます。

まずはハッシュタグのつけ方から学んでみて(^^)

#れいわ信者 https://t.co/mCnyOgGWlt",私 場合 動画 勉強 する ない 就活 セクハラ 政権 せい する 気 ない あと 社会 人 社会 よい 分かる ない 社会 人 社会 よい 理解 する いる 学生 さん いる ます ハッシュ タグ つけ 方 学ぶ みる れいわ 信者
"就活セクハラな、私もされたわ
当時21だったけど面接時
「女性は結婚して直ぐ辞める」
だの
「仕事を覚えた頃、辞められても困る」
だの此方の話を聞かず、ガッツリ1時間
で、案の定不採用

何処の会社かバレるから詳しくは言えないが、ほどなく事故を起こし親会社ごと潰れましたわ(；´∀｀)",就活 セクハラ 私 する れる 当時 21 面接 時 女性 結婚 する 直ぐだ 辞める 仕事 覚える 頃 辞める られる 困る 此方 話 聞く 1 時間 採用 会社 バレる 詳しい 言える ない 事故 起こす 親会社 ごと 潰れる ます わ
RT @CamyFsNC57: 就活セクハラ、その会社に入社しなければいいって本当にひどい意見だな。受けた方が悪いような言い方じゃない？違うだろ。就活という圧倒的な力の差がある場面で就活生に失礼なことをする企業の方が100%悪いだろ。,就活 セクハラ 会社 入社 する ない いい 本当だ ひどい 意見 受ける 方 悪い 言い 方 ない 違う 就活 いう 圧倒 的だ 力 差 ある 場面 就活 生 失礼だ こと する 企業 方 100 悪 い
就活セクハラとか大問題じゃん！,就活 セクハラ 問題
"「「就活セクハラ」に学生が対策求める みなさんの反応」  https://t.co/hwjo45UbhL

事例の中に普通に犯罪がある定期",就活 セクハラ 学生 対策 求める みなさん 反応 事例 中 普通だ 犯罪 ある 定期
"きしょくわりぃな。
就活セクハラって.......。
ホテル行こうとかAVの見すぎだろ。誰が喜んでついてくんだよ。",きしょ くわり 就活 セクハラ . ホテル 行く 見 すぎ 誰 喜ぶ つく くむ
